9214.0 - 1       2479.7209046538806 - 1
9716.0 - 2       2476.1705048040267 - 2
9733.0 - 3       9664.0 - 3
9761.0 - 4       2498.6139711706005 - 4
9752.0 - 5       9610.0 - 5
9755.0 - 6       9663.0 - 6
9764.0 - 7       7733.0 - 7
9764.0 - 8       7331.0 - 8
9764.0 - 9       9248.0 - 9
9767.0 - 10       5842.0 - 10
9767.0 - 11       7329.0 - 11
9767.0 - 12       7321.0 - 12
9767.0 - 13       9615.0 - 13
9767.0 - 14       7821.0 - 14
9765.0 - 15       5862.0 - 15
9763.0 - 16       7334.0 - 16
9763.0 - 17       8778.0 - 17
9766.0 - 18       9643.0 - 18
9766.0 - 19       9665.0 - 19
9766.0 - 20       8795.0 - 20
9766.0 - 21       9730.0 - 21
9766.0 - 22       9727.0 - 22
9766.0 - 23       9710.0 - 23
9767.0 - 24       7814.0 - 24
9767.0 - 25       7821.0 - 25
9767.0 - 26       9269.0 - 26
9767.0 - 27       8289.0 - 27
9767.0 - 28       8795.0 - 28
9767.0 - 29       8791.0 - 29
9767.0 - 30       9639.0 - 30
9767.0 - 31       7815.0 - 31
9767.0 - 32       9628.0 - 32
9767.0 - 33       9257.0 - 33
9767.0 - 34       9641.0 - 34
9767.0 - 35       9650.0 - 35
9767.0 - 36       7821.0 - 36
9765.0 - 37       6841.0 - 37
9767.0 - 38       7815.0 - 38
9767.0 - 39       2498.768472906404 - 39
9767.0 - 40       9757.0 - 40
9767.0 - 41       8795.0 - 41
9767.0 - 42       8795.0 - 42
9767.0 - 43       8306.0 - 43
9767.0 - 44       6845.0 - 44
9767.0 - 45       6847.0 - 45
9767.0 - 46       7691.0 - 46
9767.0 - 47       7808.0 - 47
9767.0 - 48       7802.0 - 48
9767.0 - 49       6830.0 - 49
9767.0 - 50       7815.0 - 50
9759.0 - 51       7691.0 - 51
9759.0 - 52       2499.553252323088 - 52
9767.0 - 53       8781.0 - 53
9767.0 - 54       9722.0 - 54
9767.0 - 55       9728.0 - 55
9765.0 - 56       9716.0 - 56
9765.0 - 57       9282.0 - 57
9767.0 - 58       9722.0 - 58
9767.0 - 59       8308.0 - 59
9767.0 - 60       6845.0 - 60
9767.0 - 61       5854.0 - 61
9767.0 - 62       3889.0 - 62
9767.0 - 63       8306.0 - 63
9767.0 - 64       9706.0 - 64
9767.0 - 65       9248.0 - 65
9767.0 - 66       8303.0 - 66
9767.0 - 67       7327.0 - 67
9767.0 - 68       6353.0 - 68
9767.0 - 69       9637.0 - 69
9767.0 - 70       9751.0 - 70
9767.0 - 71       9740.0 - 71
9767.0 - 72       9740.0 - 72
9767.0 - 73       9736.0 - 73
9763.0 - 74       8291.0 - 74
9760.0 - 75       9702.0 - 75
9761.0 - 76       9694.0 - 76
9761.0 - 77       9280.0 - 77
9761.0 - 78       9641.0 - 78
9761.0 - 79       9731.0 - 79
9767.0 - 80       9609.0 - 80
9763.0 - 81       8793.0 - 81
9764.0 - 82       9741.0 - 82
9765.0 - 83       8792.0 - 83
9766.0 - 84       8795.0 - 84
9766.0 - 85       8795.0 - 85
9765.0 - 86       8751.0 - 86
9767.0 - 87       6839.0 - 87
9767.0 - 88       7819.0 - 88
9767.0 - 89       8773.0 - 89
9767.0 - 90       7797.0 - 90
9767.0 - 91       7813.0 - 91
9767.0 - 92       4380.0 - 92
9759.0 - 93       2499.51186175925 - 93
9766.0 - 94       7329.0 - 94
9767.0 - 95       8289.0 - 95
9767.0 - 96       8795.0 - 96
9767.0 - 97       8783.0 - 97
9767.0 - 98       2499.9999999999995 - 98
9767.0 - 99       8305.0 - 99
9767.0 - 100       7215.0 - 100
9765.0 - 101       6834.0 - 101
9767.0 - 102       7821.0 - 102
9767.0 - 103       7818.0 - 103
