2498.9314412720123 - 1       2478.4847370356747 - 1
9724.0 - 2       2480.526586841767 - 2
9735.0 - 3       9591.0 - 3
9727.0 - 4       9665.0 - 4
9726.0 - 5       2497.791736186083 - 5
9741.0 - 6       5331.0 - 6
9741.0 - 7       9601.0 - 7
9753.0 - 8       9585.0 - 8
9736.0 - 9       9594.0 - 9
9752.0 - 10       9665.0 - 10
9763.0 - 11       9665.0 - 11
9760.0 - 12       2496.7904827114 - 12
9763.0 - 13       9665.0 - 13
9763.0 - 14       5725.0 - 14
9767.0 - 15       2499.5536112847067 - 15
9767.0 - 16       9665.0 - 16
9767.0 - 17       9629.0 - 17
9767.0 - 18       9745.0 - 18
9767.0 - 19       9272.0 - 19
9767.0 - 20       9745.0 - 20
9767.0 - 21       9745.0 - 21
9767.0 - 22       9282.0 - 22
9767.0 - 23       9748.0 - 23
9767.0 - 24       9748.0 - 24
9767.0 - 25       9645.0 - 25
9767.0 - 26       9645.0 - 26
9767.0 - 27       8788.0 - 27
9767.0 - 28       2499.300960014913 - 28
9767.0 - 29       9736.0 - 29
9767.0 - 30       2499.10897264546 - 30
9767.0 - 31       8788.0 - 31
9767.0 - 32       9273.0 - 32
9767.0 - 33       9747.0 - 33
9767.0 - 34       9728.0 - 34
9767.0 - 35       2499.300960014913 - 35
9767.0 - 36       8778.0 - 36
9767.0 - 37       9737.0 - 37
9767.0 - 38       8770.0 - 38
9767.0 - 39       9723.0 - 39
9767.0 - 40       9743.0 - 40
9767.0 - 41       9278.0 - 41
9767.0 - 42       7302.0 - 42
9767.0 - 43       9725.0 - 43
9767.0 - 44       9627.0 - 44
9767.0 - 45       9767.0 - 45
9767.0 - 46       9756.0 - 46
9767.0 - 47       9134.0 - 47
9767.0 - 48       9630.0 - 48
9767.0 - 49       9630.0 - 49
9767.0 - 50       9665.0 - 50
9767.0 - 51       9665.0 - 51
9767.0 - 52       9717.0 - 52
9767.0 - 53       2499.5120523079927 - 53
9767.0 - 54       2477.2117962466486 - 54
9767.0 - 55       2474.991068238657 - 55
9767.0 - 56       2499.300634091757 - 56
9767.0 - 57       2499.1084960328076 - 57
9767.0 - 58       2499.3016109507403 - 58
9767.0 - 59       8289.0 - 59
9767.0 - 60       8289.0 - 60
9767.0 - 61       8289.0 - 61
9767.0 - 62       9758.0 - 62
9767.0 - 63       9273.0 - 63
9767.0 - 64       2499.5123854105714 - 64
9767.0 - 65       9745.0 - 65
9767.0 - 66       9632.0 - 66
9767.0 - 67       9665.0 - 67
9767.0 - 68       9665.0 - 68
9767.0 - 69       9270.0 - 69
9767.0 - 70       9640.0 - 70
9767.0 - 71       2500.0000000000005 - 71
9767.0 - 72       9254.0 - 72
9767.0 - 73       9254.0 - 73
9767.0 - 74       9742.0 - 74
9761.0 - 75       9742.0 - 75
9762.0 - 76       2499.357161223965 - 76
9762.0 - 77       9261.0 - 77
9762.0 - 78       9718.0 - 78
9762.0 - 79       9707.0 - 79
9762.0 - 80       2499.3013507219375 - 80
9762.0 - 81       9665.0 - 81
9760.0 - 82       9665.0 - 82
9747.0 - 83       9665.0 - 83
9755.0 - 84       2499.765829898838 - 84
9750.0 - 85       9665.0 - 85
9750.0 - 86       9690.0 - 86
9736.0 - 87       9674.0 - 87
9736.0 - 88       9240.0 - 88
9736.0 - 89       7770.0 - 89
9740.0 - 90       7770.0 - 90
9736.0 - 91       7770.0 - 91
9751.0 - 92       9594.0 - 92
9743.0 - 93       9570.0 - 93
9743.0 - 94       9594.0 - 94
9748.0 - 95       9125.0 - 95
9748.0 - 96       9579.0 - 96
9711.0 - 97       7770.0 - 97
9735.0 - 98       8733.0 - 98
9735.0 - 99       9597.0 - 99
9718.0 - 100       2499.7663333021774 - 100
9741.0 - 101       9606.0 - 101
9741.0 - 102       9670.0 - 102
9755.0 - 103       9612.0 - 103
9761.0 - 104       9250.0 - 104
9761.0 - 105       2499.5527328025764 - 105
9761.0 - 106       6804.0 - 106
9762.0 - 107       9745.0 - 107
9762.0 - 108       2499.1068238656667 - 108
9762.0 - 109       2499.1090520313614 - 109
9762.0 - 110       9637.0 - 110
9762.0 - 111       9637.0 - 111
9762.0 - 112       9637.0 - 112
9762.0 - 113       9723.0 - 113
9762.0 - 114       9723.0 - 114
9762.0 - 115       9724.0 - 115
9762.0 - 116       9719.0 - 116
9762.0 - 117       9709.0 - 117
9762.0 - 118       9692.0 - 118
9762.0 - 119       2499.511145874071 - 119
9762.0 - 120       8772.0 - 120
9762.0 - 121       9754.0 - 121
9762.0 - 122       9739.0 - 122
9762.0 - 123       2499.5109546165886 - 123
9762.0 - 124       9740.0 - 124
9762.0 - 125       9740.0 - 125
9762.0 - 126       9729.0 - 126
9762.0 - 127       7776.0 - 127
9762.0 - 128       8783.0 - 128
9762.0 - 129       9629.0 - 129
9762.0 - 130       9623.0 - 130
9762.0 - 131       2499.1763446174123 - 131
9762.0 - 132       7290.0 - 132
9762.0 - 133       7290.0 - 133
9762.0 - 134       8785.0 - 134
9762.0 - 135       8785.0 - 135
9762.0 - 136       9726.0 - 136
9762.0 - 137       9642.0 - 137
9762.0 - 138       9627.0 - 138
9762.0 - 139       2499.300634091757 - 139
9762.0 - 140       9270.0 - 140
9762.0 - 141       9268.0 - 141
9762.0 - 142       2499.511384735659 - 142
9762.0 - 143       7778.0 - 143
9747.0 - 144       2499.5092265410285 - 144
9749.0 - 145       2473.842195540309 - 145
9753.0 - 146       2479.2210876276417 - 146
9754.0 - 147       2497.4287050023377 - 147
9762.0 - 148       9724.0 - 148
9763.0 - 149       9624.0 - 149
9763.0 - 150       8779.0 - 150
9763.0 - 151       9732.0 - 151
9763.0 - 152       9737.0 - 152
9763.0 - 153       9140.0 - 153
9762.0 - 154       9639.0 - 154
9762.0 - 155       2496.649586125345 - 155
9762.0 - 156       9627.0 - 156
9759.0 - 157       2498.9313499187824 - 157
9759.0 - 158       9639.0 - 158
9759.0 - 159       9665.0 - 159
9759.0 - 160       9714.0 - 160
9759.0 - 161       9720.0 - 161
9754.0 - 162       9642.0 - 162
9759.0 - 163       2499.0117014547754 - 163
9759.0 - 164       9610.0 - 164
9759.0 - 165       9633.0 - 165
9759.0 - 166       2499.3006993006993 - 166
9759.0 - 167       9247.0 - 167
9761.0 - 168       2499.107780157031 - 168
9762.0 - 169       2498.618784530387 - 169
9762.0 - 170       9734.0 - 170
9762.0 - 171       9648.0 - 171
9766.0 - 172       2499.5114802149487 - 172
9762.0 - 173       9708.0 - 173
9762.0 - 174       9721.0 - 174
9762.0 - 175       2500.0000000000005 - 175
9758.0 - 176       8754.0 - 176
9756.0 - 177       9635.0 - 177
9756.0 - 178       9255.0 - 178
9759.0 - 179       7785.0 - 179
9761.0 - 180       7785.0 - 180
9762.0 - 181       9268.0 - 181
9762.0 - 182       8781.0 - 182
9762.0 - 183       8781.0 - 183
9762.0 - 184       9247.0 - 184
9762.0 - 185       2499.512099921936 - 185
9762.0 - 186       2499.51186175925 - 186
9762.0 - 187       9260.0 - 187
9762.0 - 188       2496.974210967321 - 188
9762.0 - 189       8751.0 - 189
9762.0 - 190       8784.0 - 190
9762.0 - 191       9735.0 - 191
9767.0 - 192       9742.0 - 192
9767.0 - 193       9265.0 - 193
9767.0 - 194       9731.0 - 194
9767.0 - 195       2499.5123854105714 - 195
9767.0 - 196       9724.0 - 196
9767.0 - 197       9282.0 - 197
9767.0 - 198       2499.3014808605753 - 198
9767.0 - 199       9644.0 - 199
9767.0 - 200       9642.0 - 200
9767.0 - 201       9647.0 - 201
9767.0 - 202       9614.0 - 202
