7330.0 - 1       2481.7178566679963 - 1
9745.0 - 2       2471.5378872713695 - 2
9745.0 - 3       9577.0 - 3
9751.0 - 4       7774.0 - 4
9746.0 - 5       7305.0 - 5
9752.0 - 6       2499.766311460086 - 6
9761.0 - 7       9687.0 - 7
9761.0 - 8       9576.0 - 8
9767.0 - 9       9607.0 - 9
9767.0 - 10       9606.0 - 10
9767.0 - 11       7796.0 - 11
9767.0 - 12       2496.969696969697 - 12
9766.0 - 13       8302.0 - 13
9764.0 - 14       7813.0 - 14
9767.0 - 15       8302.0 - 15
9767.0 - 16       8302.0 - 16
9767.0 - 17       8302.0 - 17
9767.0 - 18       2499.5121951219517 - 18
9767.0 - 19       9748.0 - 19
9767.0 - 20       9760.0 - 20
9767.0 - 21       9275.0 - 21
9767.0 - 22       9753.0 - 22
9767.0 - 23       9753.0 - 23
9767.0 - 24       9753.0 - 24
9767.0 - 25       2499.5123854105714 - 25
9767.0 - 26       2500.0 - 26
9767.0 - 27       9755.0 - 27
9767.0 - 28       9753.0 - 28
9767.0 - 29       2499.3016109507403 - 29
9767.0 - 30       2499.512337852336 - 30
9767.0 - 31       2499.5119570522206 - 31
9767.0 - 32       2496.883070620714 - 32
9767.0 - 33       8764.0 - 33
9767.0 - 34       2497.070884592853 - 34
9767.0 - 35       2499.3003731343283 - 35
9767.0 - 36       2499.3016759776533 - 36
9767.0 - 37       9756.0 - 37
9767.0 - 38       9632.0 - 38
9767.0 - 39       2499.299915989919 - 39
9767.0 - 40       8791.0 - 40
9767.0 - 41       8791.0 - 41
9767.0 - 42       9751.0 - 42
9767.0 - 43       9747.0 - 43
9767.0 - 44       9756.0 - 44
9767.0 - 45       9639.0 - 45
9767.0 - 46       9277.0 - 46
9767.0 - 47       9633.0 - 47
9767.0 - 48       9615.0 - 48
9767.0 - 49       2498.932718579235 - 49
9767.0 - 50       9639.0 - 50
9767.0 - 51       9767.0 - 51
9767.0 - 52       9767.0 - 52
9767.0 - 53       2499.7667692881796 - 53
9767.0 - 54       9715.0 - 54
9767.0 - 55       9716.0 - 55
9767.0 - 56       2497.315501757126 - 56
9767.0 - 57       2498.9321715359642 - 57
9767.0 - 58       8273.0 - 58
9767.0 - 59       8273.0 - 59
9767.0 - 60       9254.0 - 60
9767.0 - 61       9665.0 - 61
9767.0 - 62       9665.0 - 62
9767.0 - 63       9621.0 - 63
9767.0 - 64       8779.0 - 64
9767.0 - 65       9737.0 - 65
9767.0 - 66       9733.0 - 66
9767.0 - 67       2499.301545911715 - 67
9767.0 - 68       9740.0 - 68
9767.0 - 69       9745.0 - 69
9767.0 - 70       2479.818749524027 - 70
9767.0 - 71       2479.818749524027 - 71
9767.0 - 72       9697.0 - 72
9767.0 - 73       9766.0 - 73
9767.0 - 74       9731.0 - 74
9767.0 - 75       9740.0 - 75
9767.0 - 76       9756.0 - 76
9767.0 - 77       8778.0 - 77
9767.0 - 78       9726.0 - 78
9767.0 - 79       8791.0 - 79
9767.0 - 80       9745.0 - 80
9767.0 - 81       9745.0 - 81
9767.0 - 82       2499.3005036373806 - 82
9767.0 - 83       9735.0 - 83
9767.0 - 84       9272.0 - 84
9767.0 - 85       9640.0 - 85
9767.0 - 86       9632.0 - 86
9767.0 - 87       9712.0 - 87
9767.0 - 88       2499.1081780076697 - 88
9767.0 - 89       2499.1784423266513 - 89
9767.0 - 90       9701.0 - 90
9767.0 - 91       2499.51119366507 - 91
9760.0 - 92       9635.0 - 92
9767.0 - 93       2499.298672152609 - 93
9767.0 - 94       9603.0 - 94
9767.0 - 95       9709.0 - 95
9767.0 - 96       2500.0 - 96
9767.0 - 97       2499.512099921936 - 97
9767.0 - 98       9254.0 - 98
9767.0 - 99       2499.512099921936 - 99
9767.0 - 100       9277.0 - 100
9767.0 - 101       2499.3585906097665 - 101
9767.0 - 102       7310.0 - 102
9767.0 - 103       9261.0 - 103
9767.0 - 104       9266.0 - 104
9767.0 - 105       9739.0 - 105
9767.0 - 106       9753.0 - 106
9767.0 - 107       9724.0 - 107
9767.0 - 108       9238.0 - 108
9767.0 - 109       2499.108813831209 - 109
9767.0 - 110       2494.873547505126 - 110
9767.0 - 111       9248.0 - 111
9767.0 - 112       9698.0 - 112
9767.0 - 113       2499.179116729601 - 113
9767.0 - 114       9611.0 - 114
9767.0 - 115       9604.0 - 115
9767.0 - 116       2499.511671061627 - 116
9767.0 - 117       9634.0 - 117
9767.0 - 118       9635.0 - 118
9767.0 - 119       9665.0 - 119
9767.0 - 120       7282.0 - 120
9767.0 - 121       2499.5122427080287 - 121
