9735.0 - 1       2482.122149207576 - 1
9735.0 - 2       2498.235029844041 - 2
9726.0 - 3       9665.0 - 3
9726.0 - 4       2499.550440568243 - 4
9731.0 - 5       2500.0 - 5
9731.0 - 6       9665.0 - 6
9737.0 - 7       9665.0 - 7
9737.0 - 8       9667.0 - 8
9749.0 - 9       9693.0 - 9
9755.0 - 10       9639.0 - 10
9756.0 - 11       2499.5527728085863 - 11
9756.0 - 12       9720.0 - 12
9756.0 - 13       9727.0 - 13
9760.0 - 14       9272.0 - 14
9762.0 - 15       2500.0000000000005 - 15
9762.0 - 16       2500.0 - 16
9760.0 - 17       9703.0 - 17
9759.0 - 18       9722.0 - 18
9762.0 - 19       9714.0 - 19
9763.0 - 20       9726.0 - 20
9767.0 - 21       9742.0 - 21
9767.0 - 22       9743.0 - 22
9767.0 - 23       9742.0 - 23
9767.0 - 24       9723.0 - 24
9763.0 - 25       8786.0 - 25
9767.0 - 26       9727.0 - 26
9767.0 - 27       9257.0 - 27
9767.0 - 28       9256.0 - 28
9767.0 - 29       9736.0 - 29
9767.0 - 30       9736.0 - 30
9767.0 - 31       9736.0 - 31
9767.0 - 32       9744.0 - 32
9767.0 - 33       9734.0 - 33
9767.0 - 34       9734.0 - 34
9767.0 - 35       9724.0 - 35
9767.0 - 36       9690.0 - 36
9767.0 - 37       9681.0 - 37
9767.0 - 38       9149.0 - 38
9767.0 - 39       9665.0 - 39
9762.0 - 40       9244.0 - 40
9754.0 - 41       9697.0 - 41
9761.0 - 42       7780.0 - 42
9761.0 - 43       8763.0 - 43
9761.0 - 44       9605.0 - 44
9761.0 - 45       9624.0 - 45
9761.0 - 46       2476.382157233221 - 46
9762.0 - 47       6712.0 - 47
9762.0 - 48       9607.0 - 48
9762.0 - 49       9741.0 - 49
9763.0 - 50       2499.3016759776533 - 50
9767.0 - 51       9751.0 - 51
9767.0 - 52       9751.0 - 52
9767.0 - 53       2499.512337852336 - 53
9767.0 - 54       9755.0 - 54
9767.0 - 55       9755.0 - 55
9767.0 - 56       9742.0 - 56
9767.0 - 57       2499.5123854105714 - 57
9767.0 - 58       9665.0 - 58
9767.0 - 59       9761.0 - 59
9767.0 - 60       9748.0 - 60
9767.0 - 61       9748.0 - 61
9767.0 - 62       9724.0 - 62
9767.0 - 63       9736.0 - 63
9767.0 - 64       9258.0 - 64
9767.0 - 65       9718.0 - 65
9767.0 - 66       9719.0 - 66
9767.0 - 67       9716.0 - 67
9767.0 - 68       2499.301090299133 - 68
9767.0 - 69       9275.0 - 69
9767.0 - 70       9759.0 - 70
9767.0 - 71       9767.0 - 71
9767.0 - 72       9282.0 - 72
9767.0 - 73       9753.0 - 73
9767.0 - 74       9760.0 - 74
9767.0 - 75       9767.0 - 75
9767.0 - 76       9643.0 - 76
9767.0 - 77       9738.0 - 77
9767.0 - 78       9259.0 - 78
9767.0 - 79       9767.0 - 79
9767.0 - 80       2478.8754639500908 - 80
9767.0 - 81       2478.8754639500908 - 81
9767.0 - 82       9274.0 - 82
9767.0 - 83       2498.4790874524715 - 83
9767.0 - 84       9650.0 - 84
9767.0 - 85       9731.0 - 85
9767.0 - 86       9719.0 - 86
9767.0 - 87       9276.0 - 87
9767.0 - 88       2499.301090299133 - 88
9767.0 - 89       2498.766650222003 - 89
9767.0 - 90       9280.0 - 90
9767.0 - 91       9708.0 - 91
