9729.0 - 1       2481.434822967776 - 1
9737.0 - 2       2475.466919911364 - 2
9723.0 - 3       2472.9161070821024 - 3
9720.0 - 4       2476.8501506577495 - 4
9720.0 - 5       2478.065665912674 - 5
9734.0 - 6       7280.0 - 6
9713.0 - 7       7277.0 - 7
9736.0 - 8       9560.0 - 8
9739.0 - 9       2500.0 - 9
9732.0 - 10       2500.0000000000005 - 10
9755.0 - 11       2500.0 - 11
9755.0 - 12       9607.0 - 12
9759.0 - 13       9614.0 - 13
9750.0 - 14       2499.511145874071 - 14
9755.0 - 15       2498.9320803075607 - 15
9757.0 - 16       2499.5121475265883 - 16
9763.0 - 17       2499.511432479969 - 17
9763.0 - 18       9270.0 - 18
9767.0 - 19       9269.0 - 19
9767.0 - 20       9639.0 - 20
9767.0 - 21       9760.0 - 21
9767.0 - 22       9728.0 - 22
9767.0 - 23       2499.108893245411 - 23
9767.0 - 24       9748.0 - 24
9767.0 - 25       8789.0 - 25
9767.0 - 26       2499.512337852336 - 26
9767.0 - 27       9715.0 - 27
9767.0 - 28       9255.0 - 28
9767.0 - 29       9755.0 - 29
9767.0 - 30       2499.1772932949407 - 30
9767.0 - 31       9714.0 - 31
9767.0 - 32       9709.0 - 32
9767.0 - 33       2499.108575503655 - 33
9767.0 - 34       2499.5123854105714 - 34
9767.0 - 35       2497.9425077890774 - 35
9764.0 - 36       5228.0 - 36
9767.0 - 37       9710.0 - 37
9767.0 - 38       2499.5540094549997 - 38
9767.0 - 39       9753.0 - 39
9767.0 - 40       9737.0 - 40
9767.0 - 41       2499.5123854105714 - 41
9767.0 - 42       9732.0 - 42
9767.0 - 43       9732.0 - 43
9767.0 - 44       9261.0 - 44
9767.0 - 45       9720.0 - 45
9767.0 - 46       9746.0 - 46
9767.0 - 47       9732.0 - 47
9767.0 - 48       2499.5123854105714 - 48
9767.0 - 49       9614.0 - 49
9767.0 - 50       8267.0 - 50
9767.0 - 51       9622.0 - 51
9760.0 - 52       9258.0 - 52
9767.0 - 53       9146.0 - 53
9767.0 - 54       2497.329279316295 - 54
9767.0 - 55       2499.5104758175053 - 55
9767.0 - 56       9742.0 - 56
9767.0 - 57       2499.178914525002 - 57
9767.0 - 58       9738.0 - 58
9767.0 - 59       9767.0 - 59
9767.0 - 60       9747.0 - 60
9767.0 - 61       9738.0 - 61
9767.0 - 62       9708.0 - 62
9767.0 - 63       9736.0 - 63
9767.0 - 64       8791.0 - 64
9767.0 - 65       9633.0 - 65
9767.0 - 66       8674.0 - 66
9767.0 - 67       9643.0 - 67
9767.0 - 68       2499.7667039940275 - 68
9767.0 - 69       2499.511336982017 - 69
9767.0 - 70       9599.0 - 70
9767.0 - 71       9608.0 - 71
9767.0 - 72       2500.0000000000005 - 72
9767.0 - 73       2479.219442685244 - 73
9767.0 - 74       2478.5620052770446 - 74
9767.0 - 75       2478.8403733586456 - 75
