9240.0 - 1       2480.531599948513 - 1
9740.0 - 2       2499.0126382306476 - 2
9740.0 - 3       2499.765917602996 - 3
9749.0 - 4       9594.0 - 4
9751.0 - 5       9227.0 - 5
9751.0 - 6       9704.0 - 6
9751.0 - 7       6334.0 - 7
9751.0 - 8       7309.0 - 8
9763.0 - 9       9722.0 - 9
9763.0 - 10       6813.0 - 10
9767.0 - 11       8301.0 - 11
9767.0 - 12       9282.0 - 12
9767.0 - 13       6827.0 - 13
9767.0 - 14       9741.0 - 14
9767.0 - 15       8777.0 - 15
9767.0 - 16       9641.0 - 16
9767.0 - 17       8795.0 - 17
9767.0 - 18       5364.0 - 18
9767.0 - 19       8283.0 - 19
9767.0 - 20       7788.0 - 20
9767.0 - 21       5838.0 - 21
9767.0 - 22       2498.7694831829367 - 22
9767.0 - 23       5858.0 - 23
9767.0 - 24       5367.0 - 24
9767.0 - 25       8306.0 - 25
9767.0 - 26       8306.0 - 26
9767.0 - 27       9633.0 - 27
9767.0 - 28       9725.0 - 28
9767.0 - 29       9273.0 - 29
9767.0 - 30       9262.0 - 30
9767.0 - 31       9280.0 - 31
9767.0 - 32       9747.0 - 32
9767.0 - 33       9264.0 - 33
9767.0 - 34       7315.0 - 34
9767.0 - 35       9735.0 - 35
9767.0 - 36       9282.0 - 36
9767.0 - 37       9745.0 - 37
9767.0 - 38       2499.511384735659 - 38
9767.0 - 39       9633.0 - 39
9767.0 - 40       2476.7275331185106 - 40
9767.0 - 41       7817.0 - 41
9767.0 - 42       9744.0 - 42
9767.0 - 43       9721.0 - 43
9767.0 - 44       9730.0 - 44
9767.0 - 45       7821.0 - 45
9767.0 - 46       8761.0 - 46
9767.0 - 47       8795.0 - 47
9767.0 - 48       6356.0 - 48
9767.0 - 49       5382.0 - 49
9767.0 - 50       9738.0 - 50
9767.0 - 51       8289.0 - 51
9767.0 - 52       9718.0 - 52
9767.0 - 53       9715.0 - 53
9767.0 - 54       9621.0 - 54
9767.0 - 55       7301.0 - 55
9767.0 - 56       6845.0 - 56
9763.0 - 57       9628.0 - 57
9763.0 - 58       6356.0 - 58
9765.0 - 59       8795.0 - 59
9767.0 - 60       7329.0 - 60
9767.0 - 61       6354.0 - 61
9767.0 - 62       9278.0 - 62
9767.0 - 63       9628.0 - 63
9767.0 - 64       7331.0 - 64
9767.0 - 65       8303.0 - 65
9767.0 - 66       9266.0 - 66
9767.0 - 67       7766.0 - 67
9767.0 - 68       9625.0 - 68
9767.0 - 69       8795.0 - 69
9767.0 - 70       8795.0 - 70
9767.0 - 71       8795.0 - 71
9767.0 - 72       7323.0 - 72
9767.0 - 73       9740.0 - 73
9767.0 - 74       8770.0 - 74
9767.0 - 75       8778.0 - 75
9767.0 - 76       7812.0 - 76
9767.0 - 77       6800.0 - 77
9767.0 - 78       9719.0 - 78
9767.0 - 79       8777.0 - 79
9767.0 - 80       9146.0 - 80
9767.0 - 81       9631.0 - 81
9767.0 - 82       9630.0 - 82
9767.0 - 83       6798.0 - 83
9767.0 - 84       9262.0 - 84
9761.0 - 85       8767.0 - 85
9761.0 - 86       7316.0 - 86
9767.0 - 87       9728.0 - 87
9767.0 - 88       7821.0 - 88
9767.0 - 89       5868.0 - 89
9767.0 - 90       5851.0 - 90
9767.0 - 91       7306.0 - 91
9767.0 - 92       8795.0 - 92
9767.0 - 93       6818.0 - 93
9767.0 - 94       6839.0 - 94
9767.0 - 95       9589.0 - 95
9763.0 - 96       9745.0 - 96
9765.0 - 97       8776.0 - 97
9767.0 - 98       8308.0 - 98
9767.0 - 99       7334.0 - 99
9767.0 - 100       2499.5122427080287 - 100
9767.0 - 101       9276.0 - 101
9767.0 - 102       6847.0 - 102
9767.0 - 103       9249.0 - 103
9767.0 - 104       8793.0 - 104
9767.0 - 105       5861.0 - 105
9767.0 - 106       7801.0 - 106
9767.0 - 107       7331.0 - 107
9767.0 - 108       4872.0 - 108
9767.0 - 109       2499.553292236219 - 109
9767.0 - 110       7809.0 - 110
9767.0 - 111       9615.0 - 111
9767.0 - 112       8776.0 - 112
9767.0 - 113       9737.0 - 113
9767.0 - 114       9756.0 - 114
9767.0 - 115       7808.0 - 115
9767.0 - 116       7795.0 - 116
9767.0 - 117       7332.0 - 117
9767.0 - 118       8793.0 - 118
9767.0 - 119       9744.0 - 119
9767.0 - 120       9272.0 - 120
9767.0 - 121       9635.0 - 121
9767.0 - 122       9646.0 - 122
9767.0 - 123       6829.0 - 123
9767.0 - 124       7771.0 - 124
9767.0 - 125       6826.0 - 125
9767.0 - 126       9630.0 - 126
9767.0 - 127       8767.0 - 127
9767.0 - 128       8795.0 - 128
9767.0 - 129       9715.0 - 129
9767.0 - 130       9733.0 - 130
9767.0 - 131       5863.0 - 131
9767.0 - 132       9597.0 - 132
9767.0 - 133       9709.0 - 133
9767.0 - 134       9733.0 - 134
9767.0 - 135       9280.0 - 135
9767.0 - 136       9665.0 - 136
9767.0 - 137       7805.0 - 137
9767.0 - 138       9726.0 - 138
9767.0 - 139       9625.0 - 139
9767.0 - 140       7156.0 - 140
9767.0 - 141       8777.0 - 141
9767.0 - 142       6841.0 - 142
9767.0 - 143       7325.0 - 143
9767.0 - 144       9739.0 - 144
9767.0 - 145       7331.0 - 145
9767.0 - 146       9739.0 - 146
9767.0 - 147       6842.0 - 147
9767.0 - 148       5868.0 - 148
9767.0 - 149       9747.0 - 149
9767.0 - 150       8676.0 - 150
9767.0 - 151       9624.0 - 151
9767.0 - 152       9756.0 - 152
9767.0 - 153       9748.0 - 153
9767.0 - 154       9756.0 - 154
9767.0 - 155       8790.0 - 155
9767.0 - 156       9761.0 - 156
9767.0 - 157       9607.0 - 157
9767.0 - 158       9624.0 - 158
9767.0 - 159       9647.0 - 159
9767.0 - 160       8789.0 - 160
9767.0 - 161       7801.0 - 161
9767.0 - 162       8790.0 - 162
9767.0 - 163       9282.0 - 163
9767.0 - 164       2474.5966663695517 - 164
9767.0 - 165       7810.0 - 165
9767.0 - 166       9734.0 - 166
9767.0 - 167       5869.0 - 167
9767.0 - 168       3903.0 - 168
9767.0 - 169       5871.0 - 169
9767.0 - 170       7821.0 - 170
9767.0 - 171       6845.0 - 171
9767.0 - 172       6847.0 - 172
9767.0 - 173       5866.0 - 173
9767.0 - 174       4895.0 - 174
9767.0 - 175       8795.0 - 175
9767.0 - 176       8253.0 - 176
9767.0 - 177       7821.0 - 177
9767.0 - 178       9282.0 - 178
9767.0 - 179       8795.0 - 179
9767.0 - 180       7330.0 - 180
9767.0 - 181       7821.0 - 181
9767.0 - 182       8795.0 - 182
9767.0 - 183       7332.0 - 183
9767.0 - 184       7821.0 - 184
9767.0 - 185       8795.0 - 185
9767.0 - 186       8795.0 - 186
9767.0 - 187       9628.0 - 187
9767.0 - 188       6331.0 - 188
9767.0 - 189       2499.1760052735663 - 189
9753.0 - 190       8779.0 - 190
9766.0 - 191       9610.0 - 191
9767.0 - 192       7334.0 - 192
9767.0 - 193       7821.0 - 193
9765.0 - 194       2499.5122427080287 - 194
9767.0 - 195       7821.0 - 195
9767.0 - 196       7821.0 - 196
9767.0 - 197       6845.0 - 197
9767.0 - 198       7817.0 - 198
9767.0 - 199       7334.0 - 199
9767.0 - 200       7817.0 - 200
9767.0 - 201       6837.0 - 201
9767.0 - 202       8183.0 - 202
9767.0 - 203       6847.0 - 203
9767.0 - 204       7821.0 - 204
9767.0 - 205       7332.0 - 205
9767.0 - 206       7821.0 - 206
9767.0 - 207       8795.0 - 207
9767.0 - 208       8795.0 - 208
9767.0 - 209       7821.0 - 209
9767.0 - 210       8795.0 - 210
9767.0 - 211       4885.0 - 211
9767.0 - 212       5871.0 - 212
9767.0 - 213       5871.0 - 213
9767.0 - 214       7821.0 - 214
9767.0 - 215       7821.0 - 215
9767.0 - 216       6845.0 - 216
9767.0 - 217       7330.0 - 217
9767.0 - 218       8189.0 - 218
9767.0 - 219       8767.0 - 219
9767.0 - 220       9689.0 - 220
9767.0 - 221       9746.0 - 221
9767.0 - 222       9749.0 - 222
9767.0 - 223       9753.0 - 223
9767.0 - 224       9749.0 - 224
9767.0 - 225       9751.0 - 225
9767.0 - 226       8791.0 - 226
9767.0 - 227       8795.0 - 227
9767.0 - 228       9756.0 - 228
9767.0 - 229       8790.0 - 229
9767.0 - 230       8305.0 - 230
9767.0 - 231       9280.0 - 231
9767.0 - 232       9721.0 - 232
