2499.7667039940275 - 1       2482.6128081010406 - 1
9720.0 - 2       2482.1175409202215 - 2
9742.0 - 3       2498.7652288442537 - 3
9734.0 - 4       9684.0 - 4
9723.0 - 5       9614.0 - 5
9738.0 - 6       9212.0 - 6
9726.0 - 7       9212.0 - 7
9727.0 - 8       9588.0 - 8
9723.0 - 9       2473.8072965388214 - 9
9740.0 - 10       8738.0 - 10
9740.0 - 11       8274.0 - 11
9752.0 - 12       9684.0 - 12
9757.0 - 13       8762.0 - 13
9759.0 - 14       9619.0 - 14
9762.0 - 15       9603.0 - 15
9762.0 - 16       2499.512099921936 - 16
9762.0 - 17       9643.0 - 17
9762.0 - 18       2500.0000000000005 - 18
9762.0 - 19       2497.0754533047375 - 19
9762.0 - 20       9751.0 - 20
9762.0 - 21       9749.0 - 21
9762.0 - 22       2497.0754533047375 - 22
9762.0 - 23       9269.0 - 23
9762.0 - 24       9751.0 - 24
9762.0 - 25       9736.0 - 25
9762.0 - 26       9737.0 - 26
9762.0 - 27       9643.0 - 27
9762.0 - 28       9729.0 - 28
9762.0 - 29       9735.0 - 29
9762.0 - 30       8749.0 - 30
9762.0 - 31       2497.2072239806366 - 31
9762.0 - 32       9724.0 - 32
9762.0 - 33       9724.0 - 33
9762.0 - 34       9729.0 - 34
9762.0 - 35       2497.21841834988 - 35
9762.0 - 36       2499.301415797317 - 36
9762.0 - 37       2500.0 - 37
9767.0 - 38       9258.0 - 38
9767.0 - 39       9721.0 - 39
9767.0 - 40       8774.0 - 40
9767.0 - 41       2476.8902583550603 - 41
9767.0 - 42       2499.512337852336 - 42
9767.0 - 43       9751.0 - 43
9767.0 - 44       9751.0 - 44
9767.0 - 45       2499.1091314031178 - 45
9767.0 - 46       9650.0 - 46
9767.0 - 47       2479.450490904939 - 47
9767.0 - 48       2480.5240793201137 - 48
9767.0 - 49       2499.5123854105714 - 49
9767.0 - 50       9757.0 - 50
9767.0 - 51       9743.0 - 51
9767.0 - 52       9767.0 - 52
9767.0 - 53       9754.0 - 53
9767.0 - 54       9754.0 - 54
9767.0 - 55       9761.0 - 55
9767.0 - 56       9761.0 - 56
9767.0 - 57       2499.5123854105714 - 57
9767.0 - 58       9247.0 - 58
9767.0 - 59       9282.0 - 59
9767.0 - 60       9737.0 - 60
9767.0 - 61       9767.0 - 61
9767.0 - 62       9282.0 - 62
9767.0 - 63       2481.3368947332374 - 63
9767.0 - 64       2499.5122427080287 - 64
9767.0 - 65       2499.5122427080287 - 65
9767.0 - 66       2497.0989913416047 - 66
9767.0 - 67       2498.6149584487534 - 67
9767.0 - 68       7283.0 - 68
9767.0 - 69       2499.357546684941 - 69
9767.0 - 70       9665.0 - 70
9767.0 - 71       2497.3186427457094 - 71
9767.0 - 72       9251.0 - 72
9767.0 - 73       9755.0 - 73
9767.0 - 74       9277.0 - 74
9767.0 - 75       9746.0 - 75
9767.0 - 76       9750.0 - 76
9767.0 - 77       9745.0 - 77
9767.0 - 78       2499.5123854105714 - 78
9767.0 - 79       9746.0 - 79
9767.0 - 80       9740.0 - 80
9767.0 - 81       9737.0 - 81
9767.0 - 82       2475.7677131583464 - 82
9767.0 - 83       9615.0 - 83
9767.0 - 84       9615.0 - 84
9767.0 - 85       9751.0 - 85
9767.0 - 86       9709.0 - 86
9767.0 - 87       9747.0 - 87
9767.0 - 88       9665.0 - 88
9767.0 - 89       9767.0 - 89
9767.0 - 90       9758.0 - 90
9767.0 - 91       9748.0 - 91
9767.0 - 92       9741.0 - 92
9767.0 - 93       9764.0 - 93
9767.0 - 94       9734.0 - 94
9767.0 - 95       9277.0 - 95
9767.0 - 96       9756.0 - 96
9767.0 - 97       9745.0 - 97
9767.0 - 98       2499.3588647632077 - 98
9767.0 - 99       9727.0 - 99
9767.0 - 100       9722.0 - 100
9767.0 - 101       9739.0 - 101
9767.0 - 102       9728.0 - 102
9767.0 - 103       9268.0 - 103
9767.0 - 104       2478.2519491177677 - 104
9767.0 - 105       2499.5123854105714 - 105
9767.0 - 106       9756.0 - 106
9767.0 - 107       9754.0 - 107
9767.0 - 108       9754.0 - 108
9767.0 - 109       9754.0 - 109
9767.0 - 110       2499.3016759776533 - 110
9767.0 - 111       9252.0 - 111
9767.0 - 112       9750.0 - 112
9767.0 - 113       2499.512337852336 - 113
9767.0 - 114       9755.0 - 114
9767.0 - 115       9755.0 - 115
9767.0 - 116       9755.0 - 116
9767.0 - 117       9270.0 - 117
9767.0 - 118       9758.0 - 118
9767.0 - 119       9758.0 - 119
9767.0 - 120       2499.3016109507403 - 120
9767.0 - 121       8775.0 - 121
9767.0 - 122       9282.0 - 122
9767.0 - 123       9261.0 - 123
